Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
C,0.290,0.168,0.265,0.205,0.168,1,1,0
C,0.272,0.168,0.268,0.205,0.146,1,1,0
C,0.309,0.176,0.311,0.251,0.162,1,1,0
C,0.340,0.185,0.245,0.235,0.151,1,1,0
C,0.332,0.144,0.281,0.247,0.138,1,1,0
C,0.338,0.155,0.245,0.258,0.155,1,1,0
C,0.334,0.172,0.275,0.236,0.131,1,1,0
C,0.307,0.164,0.278,0.254,0.138,1,1,0
C,0.297,0.179,0.278,0.207,0.146,1,1,0
C,0.326,0.173,0.288,0.247,0.135,1,1,0
C,0.322,0.156,0.269,0.258,0.138,1,1,0
C,0.323,0.162,0.259,0.237,0.140,1,1,0
C,0.298,0.145,0.244,0.245,0.168,1,1,0
C,0.323,0.142,0.264,0.220,0.135,1,1,0
C,0.287,0.160,0.259,0.254,0.134,1,1,0
C,0.318,0.168,0.247,0.218,0.142,1,1,0
C,0.307,0.160,0.274,0.232,0.154,1,1,0
C,0.327,0.196,0.271,0.258,0.171,1,0,0
C,0.336,0.143,0.239,0.211,0.146,1,0,0
C,0.291,0.193,0.268,0.270,0.132,1,1,0
C,0.339,0.147,0.273,0.219,0.131,1,1,0
C,0.305,0.156,0.246,0.219,0.164,1,1,0
C,0.338,0.189,0.252,0.228,0.108,1,1,0
C,0.318,0.167,0.253,0.246,0.153,1,1,0
C,0.297,0.197,0.266,0.232,0.140,1,1,0
C,0.312,0.155,0.272,0.194,0.133,1,1,0
C,0.302,0.152,0.244,0.245,0.142,1,1,0
C,0.294,0.135,0.275,0.219,0.160,1,0,0
C,0.318,0.168,0.246,0.245,0.131,1,1,0
C,0.312,0.152,0.259,0.255,0.154,1,1,0
C,0.297,0.168,0.251,0.203,0.116,1,1,0
C,0.323,0.155,0.282,0.243,0.129,1,1,0
C,0.309,0.131,0.271,0.268,0.142,1,1,0
C,0.293,0.176,0.232,0.254,0.169,1,1,0
C,0.315,0.152,0.260,0.244,0.171,1,1,0
C,0.305,0.153,0.241,0.264,0.131,1,1,0
C,0.315,0.166,0.230,0.215,0.135,1,1,0
C,0.302,0.168,0.214,0.251,0.125,1,1,0
C,0.297,0.155,0.254,0.210,0.145,1,1,0
C,0.309,0.185,0.245,0.274,0.141,1,1,0
C,0.314,0.184,0.288,0.222,0.170,1,1,0
C,0.327,0.156,0.245,0.237,0.121,0,1,0
C,0.412,0.376,0.497,0.511,0.317,0,0,0
C,0.311,0.163,0.244,0.207,0.164,0,0,0
C,0.302,0.158,0.243,0.276,0.179,1,0,0
C,0.298,0.163,0.264,0.231,0.139,1,0,0
C,0.311,0.168,0.272,0.265,0.136,1,1,0
C,0.276,0.156,0.237,0.255,0.150,1,0,0
C,0.256,0.176,0.245,0.259,0.189,1,1,0
