Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
I,0.116,0.136,0.187,0.233,0.346,0,1,1
I,0.123,0.122,0.219,0.230,0.322,1,1,1
I,0.116,0.111,0.188,0.252,0.326,1,1,1
I,0.137,0.126,0.155,0.230,0.318,1,1,1
I,0.117,0.131,0.156,0.263,0.342,1,1,1
I,0.109,0.116,0.181,0.261,0.331,1,1,1
I,0.113,0.120,0.176,0.258,0.331,1,1,1
I,0.098,0.108,0.205,0.245,0.346,1,1,1
I,0.088,0.134,0.101,0.259,0.318,1,1,1
I,0.116,0.139,0.122,0.246,0.326,1,1,1
I,0.095,0.130,0.188,0.254,0.341,1,1,1
I,0.093,0.131,0.192,0.243,0.338,1,1,1
I,0.095,0.120,0.181,0.260,0.336,1,1,1
I,0.115,0.127,0.185,0.239,0.339,1,1,1
I,0.091,0.115,0.208,0.248,0.340,1,1,1
I,0.096,0.115,0.168,0.226,0.336,1,1,1
I,0.122,0.115,0.205,0.241,0.336,1,1,1
I,0.090,0.125,0.202,0.254,0.321,1,1,1
I,0.105,0.113,0.219,0.262,0.340,1,1,1
I,0.103,0.119,0.192,0.232,0.344,1,1,1
I,0.111,0.156,0.232,0.245,0.327,1,1,1
I,0.123,0.129,0.168,0.243,0.337,1,1,1
I,0.127,0.139,0.201,0.260,0.345,1,1,1
I,0.122,0.133,0.189,0.231,0.322,1,1,1
I,0.106,0.150,0.237,0.237,0.318,1,1,1
I,0.104,0.140,0.204,0.244,0.310,1,1,1
I,0.104,0.124,0.201,0.246,0.320,1,1,1
I,0.108,0.142,0.201,0.226,0.322,1,1,1
I,0.121,0.112,0.302,0.263,0.313,1,1,1
I,0.093,0.114,0.188,0.235,0.331,1,1,1
I,0.116,0.144,0.196,0.230,0.339,1,1,1
I,0.106,0.142,0.201,0.235,0.334,1,1,1
I,0.127,0.119,0.175,0.250,0.325,1,1,1
I,0.114,0.142,0.195,0.234,0.323,1,1,1
I,0.116,0.144,0.193,0.247,0.331,1,1,1
I,0.120,0.143,0.176,0.224,0.302,1,1,1
I,0.118,0.127,0.157,0.253,0.304,1,1,1
I,0.107,0.131,0.184,0.250,0.334,1,1,1
I,0.106,0.130,0.196,0.246,0.322,1,1,1
I,0.117,0.135,0.188,0.232,0.309,1,1,1
I,0.123,0.120,0.157,0.236,0.321,1,1,1
I,0.102,0.143,0.135,0.240,0.309,1,1,1
I,0.115,0.151,0.201,0.245,0.305,1,1,1
I,0.129,0.146,0.203,0.254,0.309,1,1,1
I,0.112,0.125,0.086,0.245,0.310,1,1,1
I,0.120,0.136,0.182,0.250,0.298,1,1,1
I,0.128,0.125,0.185,0.247,0.335,1,1,1
I,0.131,0.132,0.199,0.245,0.322,1,1,1
I,0.133,0.126,0.209,0.263,0.316,1,1,1
