Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
A,0.439,0.039,0.066,0.133,0.039,1,1,0
A,0.438,0.060,0.073,0.102,0.052,1,1,0
A,0.459,0.039,0.080,0.106,0.067,1,1,0
A,0.447,0.046,0.103,0.115,0.039,1,0,1
A,0.464,0.083,0.120,0.109,0.073,1,1,0
A,0.467,0.073,0.086,0.135,0.053,1,1,0
A,0.464,0.064,0.109,0.123,0.077,1,1,0
A,0.464,0.057,0.109,0.103,0.044,1,1,0
A,0.465,0.041,0.116,0.127,0.078,1,1,0
A,0.467,0.090,0.099,0.136,0.073,1,1,0
A,0.444,0.085,0.130,0.118,0.053,1,1,0
A,0.470,0.059,0.107,0.152,0.044,1,1,0
A,0.451,0.071,0.128,0.107,0.070,1,1,0
A,0.463,0.081,0.133,0.142,0.052,1,1,0
A,0.451,0.066,0.110,0.127,0.077,1,1,0
A,0.460,0.076,0.113,0.142,0.052,1,1,0
A,0.440,0.068,0.104,0.143,0.073,1,1,0
A,0.444,0.087,0.151,0.144,0.098,1,1,0
A,0.425,0.083,0.124,0.140,0.101,1,0,1
A,0.425,0.103,0.131,0.147,0.090,1,1,0
A,0.412,0.104,0.142,0.170,0.096,1,1,0
A,0.437,0.101,0.156,0.164,0.077,1,1,0
A,0.446,0.103,0.147,0.163,0.082,1,1,0
A,0.423,0.083,0.152,0.155,0.093,1,1,0
A,0.451,0.111,0.156,0.165,0.093,1,1,0
A,0.447,0.101,0.167,0.168,0.070,1,1,0
A,0.447,0.111,0.160,0.168,0.070,1,1,0
A,0.450,0.104,0.127,0.129,0.088,1,1,0
A,0.425,0.105,0.157,0.176,0.092,1,1,0
A,0.436,0.083,0.135,0.153,0.102,1,1,0
A,0.438,0.106,0.139,0.144,0.090,1,1,0
A,0.429,0.093,0.148,0.149,0.085,1,1,0
A,0.451,0.097,0.165,0.168,0.088,1,1,0
A,0.443,0.115,0.146,0.160,0.083,1,1,0
A,0.442,0.085,0.139,0.156,0.083,1,1,0
A,0.446,0.096,0.160,0.170,0.085,1,1,0
A,0.450,0.090,0.168,0.168,0.091,1,0,0
A,0.460,0.090,0.142,0.176,0.107,1,1,0
A,0.464,0.090,0.154,0.176,0.081,1,0,1
A,0.441,0.110,0.142,0.168,0.104,1,1,0
A,0.455,0.084,0.151,0.175,0.098,1,1,0
A,0.460,0.110,0.152,0.184,0.107,1,1,0
A,0.446,0.089,0.152,0.173,0.103,1,1,0
A,0.464,0.108,0.164,0.169,0.086,1,1,0
A,0.464,0.089,0.138,0.151,0.074,1,1,0
A,0.464,0.110,0.142,0.171,0.104,1,1,0
A,0.446,0.091,0.143,0.157,0.117,1,1,0
A,0.450,0.101,0.150,0.151,0.114,1,1,0
A,0.451,0.118,0.156,0.170,0.090,1,1,0
